"work_company","cnt"
"Kompleksi FAFA","11"
"Autoriteti Aviacionit Civil (AAC)","11"
"Studio Ligjore","11"
"Pa pune per momentin","11"
"Ne Arsim","11"
"Gjykata Administrative","11"
"Tomorrowland","11"
"Baste Live","11"
"World Bank","11"
"AVOKATURA E SHTETIT","11"
"Spitali Nene Tereza","11"
